"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"BR047010460","1962-10-01","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-02","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-03","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-04","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-05","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-06","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-07","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-08","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-09","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-10","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-11","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-12","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-13","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-14","-10.03","-44.28","350.0","CURIMATA, BR","    8",",,I"
"BR047010460","1962-10-15","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-16","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-17","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-18","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-19","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-20","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-21","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-22","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-23","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-24","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-25","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-26","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-27","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-28","-10.03","-44.28","350.0","CURIMATA, BR","   26",",,I"
"BR047010460","1962-10-29","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-30","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-10-31","-10.03","-44.28","350.0","CURIMATA, BR","   83",",,I"
"BR047010460","1962-11-01","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-02","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-03","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-04","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-05","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-06","-10.03","-44.28","350.0","CURIMATA, BR","   50",",,I"
"BR047010460","1962-11-07","-10.03","-44.28","350.0","CURIMATA, BR","   60",",,I"
"BR047010460","1962-11-08","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-09","-10.03","-44.28","350.0","CURIMATA, BR","  180",",,I"
"BR047010460","1962-11-10","-10.03","-44.28","350.0","CURIMATA, BR","  185",",,I"
"BR047010460","1962-11-11","-10.03","-44.28","350.0","CURIMATA, BR","   54",",,I"
"BR047010460","1962-11-12","-10.03","-44.28","350.0","CURIMATA, BR","  242",",,I"
"BR047010460","1962-11-13","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-14","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-15","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-16","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-17","-10.03","-44.28","350.0","CURIMATA, BR","   62",",,I"
"BR047010460","1962-11-18","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
"BR047010460","1962-11-19","-10.03","-44.28","350.0","CURIMATA, BR","    0",",,I"
