TMAX,TMIN,PRCP,SNOW,SNWD,DATE,STATION
  -11, -133,    0,    0,,1893-01-01,USW00014929
 -156, -233,    0,    0,,1893-01-02,USW00014929
  -44, -194,,    0,,1893-01-03,USW00014929
   28,  -78,    0,    0,,1893-01-04,USW00014929
  -22, -233,    0,    0,,1893-01-05,USW00014929
   28,  -67,    0,    0,,1893-01-06,USW00014929
  117, -172,,    0,,1893-01-07,USW00014929
   61,  -67,    0,    0,,1893-01-08,USW00014929
  -94, -233,    0,    0,,1893-01-09,USW00014929
 -122, -189,,    0,,1893-01-10,USW00014929
  -11, -156,  102,  102,,1893-01-11,USW00014929
 -189, -267,    0,    0,,1893-01-12,USW00014929
 -144, -300,    0,    0,,1893-01-13,USW00014929
 -233, -311,    0,    0,,1893-01-14,USW00014929
 -167, -322,    0,    0,,1893-01-15,USW00014929
  -94, -233,    0,    0,,1893-01-16,USW00014929
  -11, -122,    0,    0,,1893-01-17,USW00014929
  -78, -200,    0,    0,,1893-01-18,USW00014929
  -67, -156,    0,    0,,1893-01-19,USW00014929
  -67, -144,    0,    0,,1893-01-20,USW00014929
  -44, -122,    0,    0,,1893-01-21,USW00014929
 -211, -289,,    0,,1893-01-22,USW00014929
 -200, -333,,    0,,1893-01-23,USW00014929
  -56, -233,    0,    0,,1893-01-24,USW00014929
  -44, -133,    0,    0,,1893-01-25,USW00014929
  -67, -156,,    0,,1893-01-26,USW00014929
 -133, -233,    0,    0,,1893-01-27,USW00014929
 -111, -200,    0,    0,,1893-01-28,USW00014929
 -206, -322,   76,   76,,1893-01-29,USW00014929
 -233, -344,    0,    0,,1893-01-30,USW00014929
   11, -333,   25,   25,,1893-01-31,USW00014929
 -289, -411,,   51,,1893-02-01,USW00014929
 -150, -289,,    0,,1893-02-02,USW00014929
 -289, -389,,    0,,1893-02-03,USW00014929
 -300, -378,,    0,,1893-02-04,USW00014929
 -156, -239,,    0,,1893-02-05,USW00014929
 -250, -311,,    0,,1893-02-06,USW00014929
 -200, -300,,    0,,1893-02-07,USW00014929
 -122, -278,,    0,,1893-02-08,USW00014929
  -67, -139,,  203,,1893-02-09,USW00014929
  -61, -167,,    0,,1893-02-10,USW00014929
  -44, -156,,    0,,1893-02-11,USW00014929
   11, -111,,    0,,1893-02-12,USW00014929
   44,  -89,,   51,,1893-02-13,USW00014929
 -122, -206,,    0,,1893-02-14,USW00014929
  -28, -189,,    0,,1893-02-15,USW00014929
  -67, -161,,    0,,1893-02-16,USW00014929
  -44, -122,,    0,,1893-02-17,USW00014929
   28,  -67,,    0,,1893-02-18,USW00014929
  -22, -100,,    0,,1893-02-19,USW00014929
   44,  -33,,    0,,1893-02-20,USW00014929
   33,  -67,,   51,,1893-02-21,USW00014929
   28,  -78,,    0,,1893-02-22,USW00014929
    0, -100,,    0,,1893-02-23,USW00014929
   11, -111,,    0,,1893-02-24,USW00014929
  -11, -122,,   51,,1893-02-25,USW00014929
  -28, -189,,    0,,1893-02-26,USW00014929
  -61, -167,,    0,,1893-02-27,USW00014929
  -44, -178,,    0,,1893-02-28,USW00014929
  -78, -178,    0,    0,,1893-03-01,USW00014929
  -94, -156,    0,    0,,1893-03-02,USW00014929
 -139, -217,    0,    0,,1893-03-03,USW00014929
  -67, -217,    0,    0,,1893-03-04,USW00014929
   67, -122,    0,    0,,1893-03-05,USW00014929
   28, -117,    0,    0,,1893-03-06,USW00014929
   44,  -83,    0,    0,,1893-03-07,USW00014929
   33,  -33,    0,    0,,1893-03-08,USW00014929
   94,  -22,    0,    0,,1893-03-09,USW00014929
   83,  -17,   25,    0,,1893-03-10,USW00014929
   39,  -22,    0,    0,,1893-03-11,USW00014929
   44,  -28,    0,    0,,1893-03-12,USW00014929
 -106, -111,    0,    0,,1893-03-13,USW00014929
 -100, -233,   25,   25,,1893-03-14,USW00014929
 -106, -289,    0,    0,,1893-03-15,USW00014929
  -61, -206,  203,  203,,1893-03-16,USW00014929
   28, -183,    0,    0,,1893-03-17,USW00014929
    0, -233,    0,    0,,1893-03-18,USW00014929
  -67, -206,    0,    0,,1893-03-19,USW00014929
   17, -211,    0,    0,,1893-03-20,USW00014929
  -94, -200,  102,  102,,1893-03-21,USW00014929
   17, -122,  254,  254,,1893-03-22,USW00014929
   22, -100,  127,  127,,1893-03-23,USW00014929
  -28, -233,    0,    0,,1893-03-24,USW00014929
  -17, -178,    0,    0,,1893-03-25,USW00014929
   28, -100,    0,    0,,1893-03-26,USW00014929
   22,  -67,    0,    0,,1893-03-27,USW00014929
    0,  -83,    0,    0,,1893-03-28,USW00014929
   44,  -44,    0,    0,,1893-03-29,USW00014929
   56,  -28,    0,    0,,1893-03-30,USW00014929
   28,  -67,    0,    0,,1893-03-31,USW00014929
  -11,  -67,    0,    0,,1893-04-01,USW00014929
   44,  -44,    0,    0,,1893-04-02,USW00014929
  133,   11,    0,    0,,1893-04-03,USW00014929
  222,  -67,    0,    0,,1893-04-04,USW00014929
   39, -122,    0,    0,,1893-04-05,USW00014929
   44,  -17,   25,    0,,1893-04-06,USW00014929
  194,   11,    0,    0,,1893-04-07,USW00014929
  244,   56,    0,    0,,1893-04-08,USW00014929
  150,  -17,    0,    0,,1893-04-09,USW00014929
  217,   44,    0,    0,,1893-04-10,USW00014929
  139,   33,  165,   76,,1893-04-11,USW00014929
    6,  -11,  483,  102,,1893-04-12,USW00014929
   -6, -100,   51,   51,,1893-04-13,USW00014929
   44,  -94,    0,    0,,1893-04-14,USW00014929
  156,  -39,    0,    0,,1893-04-15,USW00014929
  156,   -6,    0,    0,,1893-04-16,USW00014929
  167,   28,    0,    0,,1893-04-17,USW00014929
   72,   11,    0,    0,,1893-04-18,USW00014929
   83,    6,   89,   25,,1893-04-19,USW00014929
   17,  -22,   13,   25,,1893-04-20,USW00014929
   44,  -39,   25,   51,,1893-04-21,USW00014929
  156,   44,    0,    0,,1893-04-22,USW00014929
  111,   28,    0,    0,,1893-04-23,USW00014929
   44,  -33,   46,    0,,1893-04-24,USW00014929
   28,    6,   64,   13,,1893-04-25,USW00014929
   44,    0,  254,   51,,1893-04-26,USW00014929
   56,  -17,    0,    0,,1893-04-27,USW00014929
   61,  -11,    0,    0,,1893-04-28,USW00014929
   72,    6,    0,    0,,1893-04-29,USW00014929
   83,    0,    0,    0,,1893-04-30,USW00014929
  106,   11,    0,,,1893-05-01,USW00014929
  156,   39,    0,,,1893-05-02,USW00014929
  222,   50,    0,,,1893-05-03,USW00014929
  100,   28,   76,,,1893-05-04,USW00014929
  106,   39,    0,,,1893-05-05,USW00014929
  167,   44,    0,,,1893-05-06,USW00014929
  211,   56,    0,,,1893-05-07,USW00014929
  211,   56,    0,,,1893-05-08,USW00014929
  200,   61,  221,,,1893-05-09,USW00014929
  222,   50,    0,,,1893-05-10,USW00014929
  211,  100,    0,,,1893-05-11,USW00014929
  211,   67,    0,,,1893-05-12,USW00014929
  250,   33,    0,,,1893-05-13,USW00014929
  267,   39,    0,,,1893-05-14,USW00014929
  156,   11,    0,,,1893-05-15,USW00014929
  267,   67,    0,,,1893-05-16,USW00014929
  267,   67,    0,,,1893-05-17,USW00014929
  206,  144,    0,,,1893-05-18,USW00014929
  194,   44,   13,,,1893-05-19,USW00014929
  211,   44,    5,,,1893-05-20,USW00014929
  222,   50,    0,,,1893-05-21,USW00014929
  133,   44,    0,,,1893-05-22,USW00014929
  133,   17,    0,,,1893-05-23,USW00014929
  133,   -6,  102,,,1893-05-24,USW00014929
  144,    0,    0,,,1893-05-25,USW00014929
  144,   11,   64,,,1893-05-26,USW00014929
  211,   11,    0,,,1893-05-27,USW00014929
  256,   33,    0,,,1893-05-28,USW00014929
  261,   44,    0,,,1893-05-29,USW00014929
  267,   83,    0,,,1893-05-30,USW00014929
  272,   89,    0,,,1893-05-31,USW00014929
  267,   89,  152,,,1893-06-01,USW00014929
  267,  111,    0,,,1893-06-02,USW00014929
  272,  111,   76,,,1893-06-03,USW00014929
  211,   83,    0,,,1893-06-04,USW00014929
  228,   56,    0,,,1893-06-05,USW00014929
  256,  100,    0,,,1893-06-06,USW00014929
  272,  111,    0,,,1893-06-07,USW00014929
  283,  100,   25,,,1893-06-08,USW00014929
  261,   94,    0,,,1893-06-09,USW00014929
  194,  106,    0,,,1893-06-10,USW00014929
  400,  133,    0,,,1893-06-11,USW00014929
  383,  189,    0,,,1893-06-12,USW00014929
  322,  211,    0,,,1893-06-13,USW00014929
  344,  200,    0,,,1893-06-14,USW00014929
  256,  156,   64,,,1893-06-15,USW00014929
  317,  122,    0,,,1893-06-16,USW00014929
  311,  128,    0,,,1893-06-17,USW00014929
  372,  183,    0,,,1893-06-18,USW00014929
  367,  183,    0,,,1893-06-19,USW00014929
  322,  200,    0,,,1893-06-20,USW00014929
  328,  117,   10,,,1893-06-21,USW00014929
  311,   56,    0,,,1893-06-22,USW00014929
  333,  133,    0,,,1893-06-23,USW00014929
  311,  128,    0,,,1893-06-24,USW00014929
  317,   56,    0,,,1893-06-25,USW00014929
  311,   67,    0,,,1893-06-26,USW00014929
  311,  133,    0,,,1893-06-27,USW00014929
  300,  167,    0,,,1893-06-28,USW00014929
  300,  167,    0,,,1893-06-29,USW00014929
  267,  172,    0,,,1893-06-30,USW00014929
  267,   89,   25,,,1893-07-01,USW00014929
  272,   78,    0,,,1893-07-02,USW00014929
  306,   83,   10,,,1893-07-03,USW00014929
  333,   94,    0,,,1893-07-04,USW00014929
  278,  100,  330,,,1893-07-05,USW00014929
  222,  117,  267,,,1893-07-06,USW00014929
  267,  144,  234,,,1893-07-07,USW00014929
  289,   94,    0,,,1893-07-08,USW00014929
  267,  122,    0,,,1893-07-09,USW00014929
  311,  122,    0,,,1893-07-10,USW00014929
  322,  211,    0,,,1893-07-11,USW00014929
  328,  128,    0,,,1893-07-12,USW00014929
  317,  211,   58,,,1893-07-13,USW00014929
  289,  117,    0,,,1893-07-14,USW00014929
  300,  122,    0,,,1893-07-15,USW00014929
  244,  106,    0,,,1893-07-16,USW00014929
  300,  122,    0,,,1893-07-17,USW00014929
  278,  111,    0,,,1893-07-18,USW00014929
  317,  150,    0,,,1893-07-19,USW00014929
  339,  144,    0,,,1893-07-20,USW00014929
  356,  178,    0,,,1893-07-21,USW00014929
  372,  206,    0,,,1893-07-22,USW00014929
  400,  194,    0,,,1893-07-23,USW00014929
  367,  206,    0,,,1893-07-24,USW00014929
  306,  106,    0,,,1893-07-25,USW00014929
  283,  156,    0,,,1893-07-26,USW00014929
  311,  117,    0,,,1893-07-27,USW00014929
  278,  106,  114,,,1893-07-28,USW00014929
  322,  167,    0,,,1893-07-29,USW00014929
  283,  106,    0,,,1893-07-30,USW00014929
  306,  122,    0,,,1893-07-31,USW00014929
  306,  100,    0,,,1893-08-01,USW00014929
  300,  122,    0,,,1893-08-02,USW00014929
  322,  144,    0,,,1893-08-03,USW00014929
  350,  178,    0,,,1893-08-04,USW00014929
  311,  117,    0,,,1893-08-05,USW00014929
  322,  111,    0,,,1893-08-06,USW00014929
  328,  122,    0,,,1893-08-07,USW00014929
  367,  161,    0,,,1893-08-08,USW00014929
  261,  144,  130,,,1893-08-09,USW00014929
  306,  167,    0,,,1893-08-10,USW00014929
  250,   50,    0,,,1893-08-11,USW00014929
  228,  222,    0,,,1893-08-12,USW00014929
  311,  122,    0,,,1893-08-13,USW00014929
  300,  167,    0,,,1893-08-14,USW00014929
  239,  133,    0,,,1893-08-15,USW00014929
  283,  111,    0,,,1893-08-16,USW00014929
  294,   94,    0,,,1893-08-17,USW00014929
  317,  106,    0,,,1893-08-18,USW00014929
  267,  161,    0,,,1893-08-19,USW00014929
  294,  217,    0,,,1893-08-20,USW00014929
  322,  106,    0,,,1893-08-21,USW00014929
  278,  111,  140,,,1893-08-22,USW00014929
  311,   56,  198,,,1893-08-23,USW00014929
  339,   78,    0,,,1893-08-24,USW00014929
  283,   39,    0,,,1893-08-25,USW00014929
  267,   44,    0,,,1893-08-26,USW00014929
  283,  111,    0,,,1893-08-27,USW00014929
  261,   -6,    0,,,1893-08-28,USW00014929
  272,  -11,    0,,,1893-08-29,USW00014929
  261,   39,    0,,,1893-08-30,USW00014929
  267,   39,    0,,,1893-08-31,USW00014929
  261,  -11,    0,,,1893-09-01,USW00014929
  317,   28,    0,,,1893-09-02,USW00014929
  378,   72,    0,,,1893-09-03,USW00014929
  361,   44,    0,,,1893-09-04,USW00014929
  356,   89,    0,,,1893-09-05,USW00014929
  322,  122,    0,,,1893-09-06,USW00014929
  333,   94,    0,,,1893-09-07,USW00014929
  339,  106,    0,,,1893-09-08,USW00014929
  322,   94,    0,,,1893-09-09,USW00014929
  339,  106,    0,,,1893-09-10,USW00014929
  322,   94,    0,,,1893-09-11,USW00014929
  267,  -11,   58,,,1893-09-12,USW00014929
  233,  -22,    0,,,1893-09-13,USW00014929
  289,   44,    0,,,1893-09-14,USW00014929
  278,   39,    0,,,1893-09-15,USW00014929
  250,  -28,    0,,,1893-09-16,USW00014929
  194,   11,    0,,,1893-09-17,USW00014929
  100,   44,    0,,,1893-09-18,USW00014929
   94,   39,    0,,,1893-09-19,USW00014929
   22,  -39,    0,,,1893-09-20,USW00014929
   11,  -56,    0,,,1893-09-21,USW00014929
   89,  -44,    0,,,1893-09-22,USW00014929
   39,  -22,    0,,,1893-09-23,USW00014929
    6,  -44,    0,,,1893-09-24,USW00014929
    0,  -61,    0,,,1893-09-25,USW00014929
  100,  -72,    0,,,1893-09-26,USW00014929
  222,   -6,    0,,,1893-09-27,USW00014929
   94,    0,    0,,,1893-09-28,USW00014929
  100,  -11,    0,,,1893-09-29,USW00014929
   89,    0,    0,,,1893-09-30,USW00014929
  172,    0,    0,,,1893-10-01,USW00014929
   89,  -11,   58,,,1893-10-02,USW00014929
   61,   17,    0,,,1893-10-03,USW00014929
  167,   28,    0,,,1893-10-04,USW00014929
  128,    0,    0,,,1893-10-05,USW00014929
  183,   22,    0,,,1893-10-06,USW00014929
  206,    0,    0,,,1893-10-07,USW00014929
  222,   44,    0,,,1893-10-08,USW00014929
  194,  -44,    0,,,1893-10-09,USW00014929
  178,  -22,    0,,,1893-10-10,USW00014929
  211,  -11,    0,,,1893-10-11,USW00014929
  250,   44,    0,,,1893-10-12,USW00014929
  239,  -50,    0,,,1893-10-13,USW00014929
  233,  -28,    0,,,1893-10-14,USW00014929
  211,  -56,    0,,,1893-10-15,USW00014929
  206,  -17,    0,,,1893-10-16,USW00014929
  206,  -22,    0,,,1893-10-17,USW00014929
  178,  -39,    0,,,1893-10-18,USW00014929
  183,  -33,    0,,,1893-10-19,USW00014929
  183,  -22,    0,,,1893-10-20,USW00014929
  178,   11,    0,,,1893-10-21,USW00014929
  178,  -11,    0,,,1893-10-22,USW00014929
  -61,  -67,    0,,,1893-10-23,USW00014929
   28,  -11,  104,,,1893-10-24,USW00014929
  167,  -67,    0,,,1893-10-25,USW00014929
   83,  -72,    0,,,1893-10-26,USW00014929
  133,  -33,    0,,,1893-10-27,USW00014929
  144,  -28,    0,,,1893-10-28,USW00014929
  128,  -67,    0,,,1893-10-29,USW00014929
  156,  -67,    0,,,1893-10-30,USW00014929
  217,   33,    0,,,1893-10-31,USW00014929
   44,  -72,    0,    0,,1893-11-01,USW00014929
   44, -122,    0,    0,,1893-11-02,USW00014929
   89,  -89,    0,    0,,1893-11-03,USW00014929
  156,  -78,    0,    0,,1893-11-04,USW00014929
  178,  -28,    0,    0,,1893-11-05,USW00014929
  211,   22,    0,    0,,1893-11-06,USW00014929
  156,   44,    0,    0,,1893-11-07,USW00014929
  189,  -56,    0,    0,,1893-11-08,USW00014929
  156,  -11,    0,    0,,1893-11-09,USW00014929
  122,  -56,    0,    0,,1893-11-10,USW00014929
   89,    0,    0,    0,,1893-11-11,USW00014929
   61, -128,    0,    0,,1893-11-12,USW00014929
   22,  -72,    0,    0,,1893-11-13,USW00014929
    6, -117,    0,    0,,1893-11-14,USW00014929
   72, -106,    0,    0,,1893-11-15,USW00014929
  144,  -56,    0,    0,,1893-11-16,USW00014929
   22, -150,    0,    0,,1893-11-17,USW00014929
  -89, -183,    0,    0,,1893-11-18,USW00014929
   94, -111,    0,    0,,1893-11-19,USW00014929
   89,  -78,    0,    0,,1893-11-20,USW00014929
  -22,  -44,   51,    5,,1893-11-21,USW00014929
  -61, -122,    0,    0,,1893-11-22,USW00014929
  -94, -194,    0,    0,,1893-11-23,USW00014929
  -44, -233,    0,    0,,1893-11-24,USW00014929
   17, -156,    0,    0,,1893-11-25,USW00014929
   22,  -89,    0,    0,,1893-11-26,USW00014929
  -33,  -94,    0,    0,,1893-11-27,USW00014929
  -22,  -67,    0,    0,,1893-11-28,USW00014929
  -94, -178,    0,    0,,1893-11-29,USW00014929
 -183, -239,   76,    8,,1893-11-30,USW00014929
 -206, -311,   25,   25,,1893-12-01,USW00014929
 -194, -256,    0,    0,,1893-12-02,USW00014929
  -94, -211,    0,    0,,1893-12-03,USW00014929
   89, -117,    0,    0,,1893-12-04,USW00014929
  -61, -150,    0,    0,,1893-12-05,USW00014929
  -39, -144,   25,   25,,1893-12-06,USW00014929
   33, -139,    0,    0,,1893-12-07,USW00014929
   39, -161,   51,   51,,1893-12-08,USW00014929
 -111, -161,   25,   25,,1893-12-09,USW00014929
 -178, -256,  127,  127,,1893-12-10,USW00014929
 -122, -222,    0,    0,,1893-12-11,USW00014929
 -189, -333,    0,    0,,1893-12-12,USW00014929
 -111, -256,    0,    0,,1893-12-13,USW00014929
 -111, -144,    0,    0,,1893-12-14,USW00014929
  -56, -178,  102,  102,,1893-12-15,USW00014929
  -33, -189,    0,    0,,1893-12-16,USW00014929
   22, -233,    0,    0,,1893-12-17,USW00014929
  100,  -28,    0,    0,,1893-12-18,USW00014929
  139,  -56,    0,    0,,1893-12-19,USW00014929
  156,    6,    0,    0,,1893-12-20,USW00014929
  100,  -67,    0,    0,,1893-12-21,USW00014929
  150,  -44,    0,    0,,1893-12-22,USW00014929
  122,  -44,    0,    0,,1893-12-23,USW00014929
  100,  -67,    0,    0,,1893-12-24,USW00014929
   94,  -28,    0,    0,,1893-12-25,USW00014929
  -44, -100,    0,    0,,1893-12-26,USW00014929
  -56, -178,    0,    0,,1893-12-27,USW00014929
  -28, -122,    0,    0,,1893-12-28,USW00014929
  -39, -117,    0,    0,,1893-12-29,USW00014929
  -67, -233,    0,    0,,1893-12-30,USW00014929
  -17, -189,    0,    0,,1893-12-31,USW00014929
,,    0,,,1894-01-01,USW00014929
,,    0,,,1894-01-02,USW00014929
,,    0,,,1894-01-03,USW00014929
,,    0,,,1894-01-04,USW00014929
,,,    0,,1894-01-05,USW00014929
,,    0,,,1894-01-06,USW00014929
,,    0,,,1894-01-07,USW00014929
,,,    0,,1894-01-08,USW00014929
,,    0,,,1894-01-09,USW00014929
,,    0,,,1894-01-10,USW00014929
,,    0,,,1894-01-11,USW00014929
,,    0,,,1894-01-12,USW00014929
,,    0,,,1894-01-13,USW00014929
,,    0,,,1894-01-14,USW00014929
,,    0,,,1894-01-15,USW00014929
,,    0,,,1894-01-16,USW00014929
,,    0,,,1894-01-17,USW00014929
,,    0,,,1894-01-18,USW00014929
,,  102,  102,,1894-01-19,USW00014929
,,    0,,,1894-01-20,USW00014929
,,    0,,,1894-01-21,USW00014929
,,    0,,,1894-01-22,USW00014929
,,    0,,,1894-01-23,USW00014929
,,    0,,,1894-01-24,USW00014929
,,    0,,,1894-01-25,USW00014929
,,    0,,,1894-01-26,USW00014929
,,    0,,,1894-01-27,USW00014929
,,    0,,,1894-01-28,USW00014929
,,    0,,,1894-01-29,USW00014929
,,    0,,,1894-01-30,USW00014929
,,    0,,,1894-01-31,USW00014929
,,    0,    0,,1894-02-01,USW00014929
,,    0,    0,,1894-02-02,USW00014929
,,    0,    0,,1894-02-03,USW00014929
,,    0,    0,,1894-02-04,USW00014929
,,,    0,,1894-02-05,USW00014929
,,    0,    0,,1894-02-06,USW00014929
,,    0,    0,,1894-02-07,USW00014929
,,    0,    0,,1894-02-08,USW00014929
,,    0,    0,,1894-02-09,USW00014929
,,    0,    0,,1894-02-10,USW00014929
,,    0,    0,,1894-02-11,USW00014929
,,    0,    0,,1894-02-12,USW00014929
,,    0,    0,,1894-02-13,USW00014929
,,    0,    0,,1894-02-14,USW00014929
,,    0,    0,,1894-02-15,USW00014929
,,    0,    0,,1894-02-16,USW00014929
,,    0,    0,,1894-02-17,USW00014929
,,    0,    0,,1894-02-18,USW00014929
,,    0,    0,,1894-02-19,USW00014929
,,    0,    0,,1894-02-20,USW00014929
,,    0,    0,,1894-02-21,USW00014929
,,    0,    0,,1894-02-22,USW00014929
,,    0,    0,,1894-02-23,USW00014929
,,    0,    0,,1894-02-24,USW00014929
,,    0,    0,,1894-02-25,USW00014929
,,    0,    0,,1894-02-26,USW00014929
,,    0,    0,,1894-02-27,USW00014929
,,    0,    0,,1894-02-28,USW00014929
   83,  -67,    0,    0,,1894-03-01,USW00014929
  144,   22,    0,    0,,1894-03-02,USW00014929
  167,   28,    0,    0,,1894-03-03,USW00014929
   28,  -78,    0,    0,,1894-03-04,USW00014929
  -17, -144,    0,    0,,1894-03-05,USW00014929
  -28, -122,    0,    0,,1894-03-06,USW00014929
   56, -122,    0,    0,,1894-03-07,USW00014929
   44, -117,    0,    0,,1894-03-08,USW00014929
   39,  -94,    0,    0,,1894-03-09,USW00014929
   83,  -22,  257,  102,,1894-03-10,USW00014929
  111,  -11,    0,    0,,1894-03-11,USW00014929
  117,    0,    0,    0,,1894-03-12,USW00014929
  156,   33,    0,    0,,1894-03-13,USW00014929
  161,   44,    0,    0,,1894-03-14,USW00014929
   94,  -11,    0,    0,,1894-03-15,USW00014929
  206,   22,    0,    0,,1894-03-16,USW00014929
  100,   44,    0,    0,,1894-03-17,USW00014929
   94,  -11,    0,    0,,1894-03-18,USW00014929
   78,  -11,  226,    0,,1894-03-19,USW00014929
  122,    0,    0,    0,,1894-03-20,USW00014929
   33,  -33,  406,  203,,1894-03-21,USW00014929
   -6, -133,    0,    0,,1894-03-22,USW00014929
   83, -122,    0,    0,,1894-03-23,USW00014929
  -22, -172,    0,    0,,1894-03-24,USW00014929
  -44, -233,    0,    0,,1894-03-25,USW00014929
  -28, -222,    0,    0,,1894-03-26,USW00014929
   44, -178,  119,   51,,1894-03-27,USW00014929
   78, -128,    0,    0,,1894-03-28,USW00014929
   94,  -78,    0,    0,,1894-03-29,USW00014929
  100,  -22,    0,    0,,1894-03-30,USW00014929
   94,  -17,    0,    0,,1894-03-31,USW00014929
   78,    0,    0,    0,,1894-04-01,USW00014929
  111,    6,    0,    0,,1894-04-02,USW00014929
  106,   33,  102,    0,,1894-04-03,USW00014929
   89,    6,    0,    0,,1894-04-04,USW00014929
  111,   11,    0,    0,,1894-04-05,USW00014929
  100,    6,    0,    0,,1894-04-06,USW00014929
  194,   11,  140,   64,,1894-04-07,USW00014929
   39,  -17,    0,    0,,1894-04-08,USW00014929
   89,    6,    0,    0,,1894-04-09,USW00014929
   78,  -22,    0,    0,,1894-04-10,USW00014929
  122,  -17,    0,    0,,1894-04-11,USW00014929
  133,  -11,    0,    0,,1894-04-12,USW00014929
   83,    6,    0,    0,,1894-04-13,USW00014929
  150,   33,    0,    0,,1894-04-14,USW00014929
  100,   44,   86,    0,,1894-04-15,USW00014929
  156,   22,    0,    0,,1894-04-16,USW00014929
  222,  133,   91,    0,,1894-04-17,USW00014929
   89,    6,  152,    0,,1894-04-18,USW00014929
   33,  -11,  488,    0,,1894-04-19,USW00014929
  111,   11,    0,    0,,1894-04-20,USW00014929
  156,   11,    0,    0,,1894-04-21,USW00014929
  167,    6,   25,    0,,1894-04-22,USW00014929
  144,   33,    0,    0,,1894-04-23,USW00014929
  156,   22,    0,    0,,1894-04-24,USW00014929
  139,   39,    0,    0,,1894-04-25,USW00014929
  161,   44,   18,    0,,1894-04-26,USW00014929
  200,   83,    0,    0,,1894-04-27,USW00014929
  233,   78,    0,    0,,1894-04-28,USW00014929
  239,   72,   10,    0,,1894-04-29,USW00014929
  200,   61,   25,    0,,1894-04-30,USW00014929
  317,  156,    0,,,1894-07-01,USW00014929
  267,  122,    0,,,1894-07-02,USW00014929
  278,  133,    0,,,1894-07-03,USW00014929
  300,   94,    0,,,1894-07-04,USW00014929
  283,  111,    0,,,1894-07-05,USW00014929
  300,  100,    0,,,1894-07-06,USW00014929
  272,   89,    0,,,1894-07-07,USW00014929
  267,   94,    0,,,1894-07-08,USW00014929
  322,  122,    0,,,1894-07-09,USW00014929
  344,  189,    0,,,1894-07-10,USW00014929
  389,  222,    0,,,1894-07-11,USW00014929
  394,  239,    0,,,1894-07-12,USW00014929
  322,  211,    0,,,1894-07-13,USW00014929
  339,  183,    0,,,1894-07-14,USW00014929
  344,  189,    0,,,1894-07-15,USW00014929
  356,  156,    0,,,1894-07-16,USW00014929
  344,  133,    0,,,1894-07-17,USW00014929
  372,  139,   79,,,1894-07-18,USW00014929
  289,  200,   51,,,1894-07-19,USW00014929
  311,  211,    0,,,1894-07-20,USW00014929
  322,  111,    3,,,1894-07-21,USW00014929
  350,  106,    3,,,1894-07-22,USW00014929
  394,  178,    0,,,1894-07-23,USW00014929
  356,  144,    0,,,1894-07-24,USW00014929
  372,  122,    3,,,1894-07-25,USW00014929
  394,  200,    0,,,1894-07-26,USW00014929
  300,  233,    3,,,1894-07-27,USW00014929
  283,  144,    0,,,1894-07-28,USW00014929
  367,   89,    0,,,1894-07-29,USW00014929
  367,  106,    3,,,1894-07-30,USW00014929
  350,  144,    8,,,1894-07-31,USW00014929
  278,  139,    0,,,1894-08-01,USW00014929
  211,  144,    0,,,1894-08-02,USW00014929
  256,   44,    0,,,1894-08-03,USW00014929
  333,   89,    0,,,1894-08-04,USW00014929
  356,  183,    0,,,1894-08-05,USW00014929
  350,  156,    0,,,1894-08-06,USW00014929
  272,  161,    0,,,1894-08-07,USW00014929
  283,  133,    0,,,1894-08-08,USW00014929
  322,   89,    0,,,1894-08-09,USW00014929
  350,  156,   61,,,1894-08-10,USW00014929
  317,  167,    0,,,1894-08-11,USW00014929
  333,  133,    0,,,1894-08-12,USW00014929
  267,  178,  178,,,1894-08-13,USW00014929
  256,  128,    0,,,1894-08-14,USW00014929
  322,  100,    0,,,1894-08-15,USW00014929
  322,  128,    0,,,1894-08-16,USW00014929
  294,  144,    0,,,1894-08-17,USW00014929
  322,  122,    0,,,1894-08-18,USW00014929
  322,  189,    0,,,1894-08-19,USW00014929
  306,  178,    0,,,1894-08-20,USW00014929
  322,  200,  203,,,1894-08-21,USW00014929
  339,  178,    0,,,1894-08-22,USW00014929
  294,  167,    0,,,1894-08-23,USW00014929
  322,   72,    0,,,1894-08-24,USW00014929
  322,  178,    0,,,1894-08-25,USW00014929
  306,  156,    0,,,1894-08-26,USW00014929
  328,   89,    0,,,1894-08-27,USW00014929
  289,   56,    0,,,1894-08-28,USW00014929
  333,  106,    0,,,1894-08-29,USW00014929
  256,  100,    0,,,1894-08-30,USW00014929
  344,  133,    0,,,1894-08-31,USW00014929
  344,  122,    0,,,1894-09-01,USW00014929
  367,  150,    0,,,1894-09-02,USW00014929
  239,  133,    0,,,1894-09-03,USW00014929
  317,   56,    0,,,1894-09-04,USW00014929
  344,  100,    0,,,1894-09-05,USW00014929
  294,  150,    0,,,1894-09-06,USW00014929
  256,  144,  102,,,1894-09-07,USW00014929
  267,  133,    0,,,1894-09-08,USW00014929
  222,   56,    0,,,1894-09-09,USW00014929
  189,   28,    0,,,1894-09-10,USW00014929
  211,    6,    0,,,1894-09-11,USW00014929
  206,   22,    0,,,1894-09-12,USW00014929
  200,   11,    0,,,1894-09-13,USW00014929
  156,    0,    0,,,1894-09-14,USW00014929
  161,  -11,    0,,,1894-09-15,USW00014929
  172,   -6,    0,,,1894-09-16,USW00014929
