PRCP,DATE,STATION
    0,1964-03-20,BR047051610
  160,1964-03-21,BR047051610
    0,1964-03-22,BR047051610
    0,1964-03-23,BR047051610
    0,1964-03-24,BR047051610
    0,1964-03-25,BR047051610
    0,1964-03-26,BR047051610
    0,1964-03-27,BR047051610
   30,1964-03-28,BR047051610
   10,1964-03-29,BR047051610
    0,1964-03-30,BR047051610
  150,1964-03-31,BR047051610
    0,1964-04-01,BR047051610
    0,1964-04-02,BR047051610
    0,1964-04-03,BR047051610
    0,1964-04-04,BR047051610
    0,1964-04-05,BR047051610
    0,1964-04-06,BR047051610
    0,1964-04-07,BR047051610
    0,1964-04-08,BR047051610
    0,1964-04-09,BR047051610
    0,1964-04-10,BR047051610
    0,1964-04-11,BR047051610
    0,1964-04-12,BR047051610
    0,1964-04-13,BR047051610
    0,1964-04-14,BR047051610
   80,1964-04-15,BR047051610
    0,1964-04-16,BR047051610
    0,1964-04-17,BR047051610
    0,1964-04-18,BR047051610
    0,1964-04-19,BR047051610
    0,1964-04-20,BR047051610
    0,1964-04-21,BR047051610
    0,1964-04-22,BR047051610
    0,1964-04-23,BR047051610
    0,1964-04-24,BR047051610
    0,1964-04-25,BR047051610
   60,1964-04-26,BR047051610
    0,1964-04-27,BR047051610
    0,1964-04-28,BR047051610
  220,1964-04-29,BR047051610
    0,1964-04-30,BR047051610
    0,1964-05-01,BR047051610
    0,1964-05-02,BR047051610
   60,1964-05-03,BR047051610
    0,1964-05-04,BR047051610
    0,1964-05-05,BR047051610
    0,1964-05-06,BR047051610
    0,1964-05-07,BR047051610
    0,1964-05-08,BR047051610
    0,1964-05-09,BR047051610
    0,1964-05-10,BR047051610
    0,1964-05-11,BR047051610
   75,1964-05-12,BR047051610
    0,1964-05-13,BR047051610
    0,1964-05-14,BR047051610
    0,1964-05-15,BR047051610
    0,1964-05-16,BR047051610
    0,1964-05-17,BR047051610
    0,1964-05-18,BR047051610
    0,1964-05-19,BR047051610
    0,1964-05-20,BR047051610
    0,1964-05-21,BR047051610
    0,1964-05-22,BR047051610
    0,1964-05-23,BR047051610
    0,1964-05-24,BR047051610
    0,1964-05-25,BR047051610
    0,1964-05-26,BR047051610
    0,1964-05-27,BR047051610
    0,1964-05-28,BR047051610
    0,1964-05-29,BR047051610
    0,1964-05-30,BR047051610
    0,1964-05-31,BR047051610
    0,1964-06-01,BR047051610
    0,1964-06-02,BR047051610
    0,1964-06-03,BR047051610
    0,1964-06-04,BR047051610
    0,1964-06-05,BR047051610
    0,1964-06-06,BR047051610
    0,1964-06-07,BR047051610
    0,1964-06-08,BR047051610
    0,1964-06-09,BR047051610
    0,1964-06-10,BR047051610
    0,1964-06-11,BR047051610
    0,1964-06-12,BR047051610
    0,1964-06-13,BR047051610
    0,1964-06-14,BR047051610
    0,1964-06-15,BR047051610
    0,1964-06-16,BR047051610
    0,1964-06-17,BR047051610
    0,1964-06-18,BR047051610
    0,1964-06-19,BR047051610
    0,1964-06-20,BR047051610
    0,1964-06-21,BR047051610
    0,1964-06-22,BR047051610
    0,1964-06-23,BR047051610
    0,1964-06-24,BR047051610
    0,1964-06-25,BR047051610
    0,1964-06-26,BR047051610
    0,1964-06-27,BR047051610
    0,1964-06-28,BR047051610
    0,1964-06-29,BR047051610
    0,1964-06-30,BR047051610
    0,1964-07-01,BR047051610
    0,1964-07-02,BR047051610
    0,1964-07-03,BR047051610
    0,1964-07-04,BR047051610
    0,1964-07-05,BR047051610
    0,1964-07-06,BR047051610
    0,1964-07-07,BR047051610
    0,1964-07-08,BR047051610
    0,1964-07-09,BR047051610
    0,1964-07-10,BR047051610
    0,1964-07-11,BR047051610
    0,1964-07-12,BR047051610
    0,1964-07-13,BR047051610
    0,1964-07-14,BR047051610
    0,1964-07-15,BR047051610
    0,1964-07-16,BR047051610
    0,1964-07-17,BR047051610
    0,1964-07-18,BR047051610
    0,1964-07-19,BR047051610
    0,1964-07-20,BR047051610
    0,1964-07-21,BR047051610
    0,1964-07-22,BR047051610
    0,1964-07-23,BR047051610
    0,1964-07-24,BR047051610
    0,1964-07-25,BR047051610
    0,1964-07-26,BR047051610
    0,1964-07-27,BR047051610
    0,1964-07-28,BR047051610
    0,1964-07-29,BR047051610
    0,1964-07-30,BR047051610
    0,1964-07-31,BR047051610
    0,1964-08-01,BR047051610
    0,1964-08-02,BR047051610
    0,1964-08-03,BR047051610
    0,1964-08-04,BR047051610
    0,1964-08-05,BR047051610
    0,1964-08-06,BR047051610
    0,1964-08-07,BR047051610
    0,1964-08-08,BR047051610
    0,1964-08-09,BR047051610
    0,1964-08-10,BR047051610
    0,1964-08-11,BR047051610
    0,1964-08-12,BR047051610
    0,1964-08-13,BR047051610
    0,1964-08-14,BR047051610
    0,1964-08-15,BR047051610
    0,1964-08-16,BR047051610
    0,1964-08-17,BR047051610
    0,1964-08-18,BR047051610
    0,1964-08-19,BR047051610
    0,1964-08-20,BR047051610
    0,1964-08-21,BR047051610
    0,1964-08-22,BR047051610
    0,1964-08-23,BR047051610
    0,1964-08-24,BR047051610
    0,1964-08-25,BR047051610
    0,1964-08-26,BR047051610
    0,1964-08-27,BR047051610
    0,1964-08-28,BR047051610
    0,1964-08-29,BR047051610
    0,1964-08-30,BR047051610
    0,1964-08-31,BR047051610
    0,1964-09-01,BR047051610
    0,1964-09-02,BR047051610
    0,1964-09-03,BR047051610
    0,1964-09-04,BR047051610
    0,1964-09-05,BR047051610
    0,1964-09-06,BR047051610
    0,1964-09-07,BR047051610
    0,1964-09-08,BR047051610
    0,1964-09-09,BR047051610
    0,1964-09-10,BR047051610
    0,1964-09-11,BR047051610
    0,1964-09-12,BR047051610
    0,1964-09-13,BR047051610
    0,1964-09-14,BR047051610
    0,1964-09-15,BR047051610
    0,1964-09-16,BR047051610
    0,1964-09-17,BR047051610
    0,1964-09-18,BR047051610
    0,1964-09-19,BR047051610
    0,1964-09-20,BR047051610
    0,1964-09-21,BR047051610
    0,1964-09-22,BR047051610
    0,1964-09-23,BR047051610
    0,1964-09-24,BR047051610
    0,1964-09-25,BR047051610
    0,1964-09-26,BR047051610
    0,1964-09-27,BR047051610
    0,1964-09-28,BR047051610
    0,1964-09-29,BR047051610
    0,1964-09-30,BR047051610
    0,1964-10-01,BR047051610
    0,1964-10-02,BR047051610
    0,1964-10-03,BR047051610
    0,1964-10-04,BR047051610
    0,1964-10-05,BR047051610
    0,1964-10-06,BR047051610
    0,1964-10-07,BR047051610
    0,1964-10-08,BR047051610
    0,1964-10-09,BR047051610
    0,1964-10-10,BR047051610
    0,1964-10-11,BR047051610
    0,1964-10-12,BR047051610
   80,1964-10-13,BR047051610
   78,1964-10-14,BR047051610
   10,1964-10-15,BR047051610
    0,1964-10-16,BR047051610
    0,1964-10-17,BR047051610
    0,1964-10-18,BR047051610
    0,1964-10-19,BR047051610
    0,1964-10-20,BR047051610
   51,1964-10-21,BR047051610
    0,1964-10-22,BR047051610
    0,1964-10-23,BR047051610
    0,1964-10-24,BR047051610
    0,1964-10-25,BR047051610
    0,1964-10-26,BR047051610
    0,1964-10-27,BR047051610
    0,1964-10-28,BR047051610
    0,1964-10-29,BR047051610
    0,1964-10-30,BR047051610
    0,1964-10-31,BR047051610
    0,1964-11-01,BR047051610
    0,1964-11-02,BR047051610
    0,1964-11-03,BR047051610
    0,1964-11-04,BR047051610
    0,1964-11-05,BR047051610
    0,1964-11-06,BR047051610
    0,1964-11-07,BR047051610
    0,1964-11-08,BR047051610
    0,1964-11-09,BR047051610
    0,1964-11-10,BR047051610
    0,1964-11-11,BR047051610
   64,1964-11-12,BR047051610
    0,1964-11-13,BR047051610
    0,1964-11-14,BR047051610
    0,1964-11-15,BR047051610
    0,1964-11-16,BR047051610
    0,1964-11-17,BR047051610
    0,1964-11-18,BR047051610
    0,1964-11-19,BR047051610
    0,1964-11-20,BR047051610
    0,1964-11-21,BR047051610
  254,1964-11-22,BR047051610
    0,1964-11-23,BR047051610
    0,1964-11-24,BR047051610
    0,1964-11-25,BR047051610
    0,1964-11-26,BR047051610
    0,1964-11-27,BR047051610
  106,1964-11-28,BR047051610
    0,1964-11-29,BR047051610
    0,1964-11-30,BR047051610
    0,1964-12-01,BR047051610
    0,1964-12-02,BR047051610
    0,1964-12-03,BR047051610
    0,1964-12-04,BR047051610
  500,1964-12-05,BR047051610
    0,1964-12-06,BR047051610
    0,1964-12-07,BR047051610
    0,1964-12-08,BR047051610
    0,1964-12-09,BR047051610
    0,1964-12-10,BR047051610
    0,1964-12-11,BR047051610
    0,1964-12-12,BR047051610
   78,1964-12-13,BR047051610
    0,1964-12-14,BR047051610
    0,1964-12-15,BR047051610
    0,1964-12-16,BR047051610
    0,1964-12-17,BR047051610
    0,1964-12-18,BR047051610
   68,1964-12-19,BR047051610
    0,1964-12-20,BR047051610
    0,1964-12-21,BR047051610
    0,1964-12-22,BR047051610
    0,1964-12-23,BR047051610
    0,1964-12-24,BR047051610
    0,1964-12-25,BR047051610
    0,1964-12-26,BR047051610
    0,1964-12-27,BR047051610
    0,1964-12-28,BR047051610
    0,1964-12-29,BR047051610
  259,1964-12-30,BR047051610
    0,1964-12-31,BR047051610
    0,1965-01-01,BR047051610
    0,1965-01-02,BR047051610
    0,1965-01-03,BR047051610
    0,1965-01-04,BR047051610
    0,1965-01-05,BR047051610
    0,1965-01-06,BR047051610
  705,1965-01-07,BR047051610
    0,1965-01-08,BR047051610
    0,1965-01-09,BR047051610
    0,1965-01-10,BR047051610
    0,1965-01-11,BR047051610
  604,1965-01-12,BR047051610
    0,1965-01-13,BR047051610
    0,1965-01-14,BR047051610
    0,1965-01-15,BR047051610
    0,1965-01-16,BR047051610
    0,1965-01-17,BR047051610
    0,1965-01-18,BR047051610
    0,1965-01-19,BR047051610
    0,1965-01-20,BR047051610
    0,1965-01-21,BR047051610
    0,1965-01-22,BR047051610
    0,1965-01-23,BR047051610
  224,1965-01-24,BR047051610
    0,1965-01-25,BR047051610
    0,1965-01-26,BR047051610
    0,1965-01-27,BR047051610
    0,1965-01-28,BR047051610
    0,1965-01-29,BR047051610
    0,1965-01-30,BR047051610
    0,1965-01-31,BR047051610
    0,1965-02-01,BR047051610
    0,1965-02-02,BR047051610
    0,1965-02-03,BR047051610
    0,1965-02-04,BR047051610
    0,1965-02-05,BR047051610
    0,1965-02-06,BR047051610
    0,1965-02-07,BR047051610
   70,1965-02-08,BR047051610
    0,1965-02-09,BR047051610
    0,1965-02-10,BR047051610
    0,1965-02-11,BR047051610
    0,1965-02-12,BR047051610
    0,1965-02-13,BR047051610
  203,1965-02-14,BR047051610
  291,1965-02-15,BR047051610
  158,1965-02-16,BR047051610
  158,1965-02-17,BR047051610
    0,1965-02-18,BR047051610
    0,1965-02-19,BR047051610
    0,1965-02-20,BR047051610
  506,1965-02-21,BR047051610
    0,1965-02-22,BR047051610
    0,1965-02-23,BR047051610
    0,1965-02-24,BR047051610
    0,1965-02-25,BR047051610
    0,1965-02-26,BR047051610
    0,1965-02-27,BR047051610
    0,1965-02-28,BR047051610
    0,1965-03-01,BR047051610
    0,1965-03-02,BR047051610
    0,1965-03-03,BR047051610
    0,1965-03-04,BR047051610
  250,1965-03-05,BR047051610
  216,1965-03-06,BR047051610
    0,1965-03-07,BR047051610
    0,1965-03-08,BR047051610
    0,1965-03-09,BR047051610
    0,1965-03-10,BR047051610
    0,1965-03-11,BR047051610
   76,1965-03-12,BR047051610
    0,1965-03-13,BR047051610
    0,1965-03-14,BR047051610
  188,1965-03-15,BR047051610
    0,1965-03-16,BR047051610
  276,1965-03-17,BR047051610
    0,1965-03-18,BR047051610
    0,1965-03-19,BR047051610
   73,1965-03-20,BR047051610
    0,1965-03-21,BR047051610
  118,1965-03-22,BR047051610
    0,1965-03-23,BR047051610
    0,1965-03-24,BR047051610
    0,1965-03-25,BR047051610
  138,1965-03-26,BR047051610
  216,1965-03-27,BR047051610
    0,1965-03-28,BR047051610
    0,1965-03-29,BR047051610
  508,1965-03-30,BR047051610
  256,1965-03-31,BR047051610
    0,1965-04-01,BR047051610
    0,1965-04-02,BR047051610
    0,1965-04-03,BR047051610
    0,1965-04-04,BR047051610
    0,1965-04-05,BR047051610
    0,1965-04-06,BR047051610
    0,1965-04-07,BR047051610
    0,1965-04-08,BR047051610
    0,1965-04-09,BR047051610
    0,1965-04-10,BR047051610
    0,1965-04-11,BR047051610
  118,1965-04-12,BR047051610
  256,1965-04-13,BR047051610
  348,1965-04-14,BR047051610
    0,1965-04-15,BR047051610
    0,1965-04-16,BR047051610
    0,1965-04-17,BR047051610
  903,1965-04-18,BR047051610
  759,1965-04-19,BR047051610
    0,1965-04-20,BR047051610
    0,1965-04-21,BR047051610
    0,1965-04-22,BR047051610
    0,1965-04-23,BR047051610
    0,1965-04-24,BR047051610
  136,1965-04-25,BR047051610
    0,1965-04-26,BR047051610
    0,1965-04-27,BR047051610
    0,1965-04-28,BR047051610
    0,1965-04-29,BR047051610
    0,1965-04-30,BR047051610
    0,1965-05-01,BR047051610
    0,1965-05-02,BR047051610
    0,1965-05-03,BR047051610
    0,1965-05-04,BR047051610
    0,1965-05-05,BR047051610
    0,1965-05-06,BR047051610
    0,1965-05-07,BR047051610
    0,1965-05-08,BR047051610
    0,1965-05-09,BR047051610
    0,1965-05-10,BR047051610
    0,1965-05-11,BR047051610
    0,1965-05-12,BR047051610
    0,1965-05-13,BR047051610
    0,1965-05-14,BR047051610
    0,1965-05-15,BR047051610
    0,1965-05-16,BR047051610
    0,1965-05-17,BR047051610
    0,1965-05-18,BR047051610
    0,1965-05-19,BR047051610
    0,1965-05-20,BR047051610
    0,1965-05-21,BR047051610
    0,1965-05-22,BR047051610
    0,1965-05-23,BR047051610
    0,1965-05-24,BR047051610
    0,1965-05-25,BR047051610
    0,1965-05-26,BR047051610
    0,1965-05-27,BR047051610
    0,1965-05-28,BR047051610
    0,1965-05-29,BR047051610
    0,1965-05-30,BR047051610
    0,1965-05-31,BR047051610
    0,1965-06-01,BR047051610
    0,1965-06-02,BR047051610
    0,1965-06-03,BR047051610
    0,1965-06-04,BR047051610
    0,1965-06-05,BR047051610
    0,1965-06-06,BR047051610
    0,1965-06-07,BR047051610
    0,1965-06-08,BR047051610
    0,1965-06-09,BR047051610
    0,1965-06-10,BR047051610
    0,1965-06-11,BR047051610
    0,1965-06-12,BR047051610
    0,1965-06-13,BR047051610
    0,1965-06-14,BR047051610
    0,1965-06-15,BR047051610
    0,1965-06-16,BR047051610
    0,1965-06-17,BR047051610
    0,1965-06-18,BR047051610
    0,1965-06-19,BR047051610
    0,1965-06-20,BR047051610
    0,1965-06-21,BR047051610
    0,1965-06-22,BR047051610
    0,1965-06-23,BR047051610
    0,1965-06-24,BR047051610
    0,1965-06-25,BR047051610
    0,1965-06-26,BR047051610
    0,1965-06-27,BR047051610
    0,1965-06-28,BR047051610
    0,1965-06-29,BR047051610
    0,1965-06-30,BR047051610
    0,1965-07-01,BR047051610
    0,1965-07-02,BR047051610
    0,1965-07-03,BR047051610
    0,1965-07-04,BR047051610
    0,1965-07-05,BR047051610
    0,1965-07-06,BR047051610
    0,1965-07-07,BR047051610
    0,1965-07-08,BR047051610
    0,1965-07-09,BR047051610
    0,1965-07-10,BR047051610
    0,1965-07-11,BR047051610
    0,1965-07-12,BR047051610
    0,1965-07-13,BR047051610
    0,1965-07-14,BR047051610
    0,1965-07-15,BR047051610
    0,1965-07-16,BR047051610
    0,1965-07-17,BR047051610
    0,1965-07-18,BR047051610
    0,1965-07-19,BR047051610
    0,1965-07-20,BR047051610
    0,1965-07-21,BR047051610
    0,1965-07-22,BR047051610
    0,1965-07-23,BR047051610
    0,1965-07-24,BR047051610
    0,1965-07-25,BR047051610
    0,1965-07-26,BR047051610
    0,1965-07-27,BR047051610
    0,1965-07-28,BR047051610
    0,1965-07-29,BR047051610
    0,1965-07-30,BR047051610
    0,1965-07-31,BR047051610
    0,1965-08-01,BR047051610
    0,1965-08-02,BR047051610
    0,1965-08-03,BR047051610
    0,1965-08-04,BR047051610
    0,1965-08-05,BR047051610
    0,1965-08-06,BR047051610
    0,1965-08-07,BR047051610
    0,1965-08-08,BR047051610
    0,1965-08-09,BR047051610
    0,1965-08-10,BR047051610
    0,1965-08-11,BR047051610
    0,1965-08-12,BR047051610
    0,1965-08-13,BR047051610
    0,1965-08-14,BR047051610
    0,1965-08-15,BR047051610
    0,1965-08-16,BR047051610
    0,1965-08-17,BR047051610
    0,1965-08-18,BR047051610
    0,1965-08-19,BR047051610
    0,1965-08-20,BR047051610
    0,1965-08-21,BR047051610
    0,1965-08-22,BR047051610
    0,1965-08-23,BR047051610
    0,1965-08-24,BR047051610
    0,1965-08-25,BR047051610
    0,1965-08-26,BR047051610
    0,1965-08-27,BR047051610
    0,1965-08-28,BR047051610
    0,1965-08-29,BR047051610
    0,1965-08-30,BR047051610
    0,1965-08-31,BR047051610
    0,1965-09-01,BR047051610
    0,1965-09-02,BR047051610
    0,1965-09-03,BR047051610
    0,1965-09-04,BR047051610
    0,1965-09-05,BR047051610
    0,1965-09-06,BR047051610
    0,1965-09-07,BR047051610
    0,1965-09-08,BR047051610
    0,1965-09-09,BR047051610
    0,1965-09-10,BR047051610
    0,1965-09-11,BR047051610
    0,1965-09-12,BR047051610
    0,1965-09-13,BR047051610
    0,1965-09-14,BR047051610
    0,1965-09-15,BR047051610
    0,1965-09-16,BR047051610
    0,1965-09-17,BR047051610
    0,1965-09-18,BR047051610
    0,1965-09-19,BR047051610
    0,1965-09-20,BR047051610
    0,1965-09-21,BR047051610
    0,1965-09-22,BR047051610
    0,1965-09-23,BR047051610
    0,1965-09-24,BR047051610
    0,1965-09-25,BR047051610
    0,1965-09-26,BR047051610
    0,1965-09-27,BR047051610
    0,1965-09-28,BR047051610
    0,1965-09-29,BR047051610
    0,1965-09-30,BR047051610
    0,1965-10-01,BR047051610
   70,1965-10-02,BR047051610
    0,1965-10-03,BR047051610
    0,1965-10-04,BR047051610
    0,1965-10-05,BR047051610
    0,1965-10-06,BR047051610
    0,1965-10-07,BR047051610
    0,1965-10-08,BR047051610
   36,1965-10-09,BR047051610
    0,1965-10-10,BR047051610
    0,1965-10-11,BR047051610
    0,1965-10-12,BR047051610
    0,1965-10-13,BR047051610
    0,1965-10-14,BR047051610
    0,1965-10-15,BR047051610
    0,1965-10-16,BR047051610
    0,1965-10-17,BR047051610
    0,1965-10-18,BR047051610
    0,1965-10-19,BR047051610
    0,1965-10-20,BR047051610
    0,1965-10-21,BR047051610
    0,1965-10-22,BR047051610
    0,1965-10-23,BR047051610
    0,1965-10-24,BR047051610
    0,1965-10-25,BR047051610
    0,1965-10-26,BR047051610
  138,1965-10-27,BR047051610
    0,1965-10-28,BR047051610
    0,1965-10-29,BR047051610
    0,1965-10-30,BR047051610
    0,1965-10-31,BR047051610
    0,1965-11-01,BR047051610
    0,1965-11-02,BR047051610
    0,1965-11-03,BR047051610
    0,1965-11-04,BR047051610
    0,1965-11-05,BR047051610
    0,1965-11-06,BR047051610
    0,1965-11-07,BR047051610
    0,1965-11-08,BR047051610
    0,1965-11-09,BR047051610
    0,1965-11-10,BR047051610
    0,1965-11-11,BR047051610
    0,1965-11-12,BR047051610
    0,1965-11-13,BR047051610
    0,1965-11-14,BR047051610
    0,1965-11-15,BR047051610
    0,1965-11-16,BR047051610
    0,1965-11-17,BR047051610
  319,1965-11-18,BR047051610
    0,1965-11-19,BR047051610
   59,1965-11-20,BR047051610
    0,1965-11-21,BR047051610
   85,1965-11-22,BR047051610
    0,1965-11-23,BR047051610
   88,1965-11-24,BR047051610
    0,1965-11-25,BR047051610
    0,1965-11-26,BR047051610
    0,1965-11-27,BR047051610
    0,1965-11-28,BR047051610
    0,1965-11-29,BR047051610
    0,1965-11-30,BR047051610
    0,1965-12-01,BR047051610
    0,1965-12-02,BR047051610
    0,1965-12-03,BR047051610
    0,1965-12-04,BR047051610
    0,1965-12-05,BR047051610
    0,1965-12-06,BR047051610
  158,1965-12-07,BR047051610
    0,1965-12-08,BR047051610
    0,1965-12-09,BR047051610
    0,1965-12-10,BR047051610
    0,1965-12-11,BR047051610
    0,1965-12-12,BR047051610
  308,1965-12-13,BR047051610
    0,1965-12-14,BR047051610
    0,1965-12-15,BR047051610
    0,1965-12-16,BR047051610
    0,1965-12-17,BR047051610
    0,1965-12-18,BR047051610
    0,1965-12-19,BR047051610
    0,1965-12-20,BR047051610
    0,1965-12-21,BR047051610
    0,1965-12-22,BR047051610
    0,1965-12-23,BR047051610
    0,1965-12-24,BR047051610
    0,1965-12-25,BR047051610
    0,1965-12-26,BR047051610
    0,1965-12-27,BR047051610
    0,1965-12-28,BR047051610
    0,1965-12-29,BR047051610
    0,1965-12-30,BR047051610
    0,1965-12-31,BR047051610
    0,1966-01-01,BR047051610
    0,1966-01-02,BR047051610
    0,1966-01-03,BR047051610
    0,1966-01-04,BR047051610
    0,1966-01-05,BR047051610
    0,1966-01-06,BR047051610
    0,1966-01-07,BR047051610
    0,1966-01-08,BR047051610
    0,1966-01-09,BR047051610
   55,1966-01-10,BR047051610
    0,1966-01-11,BR047051610
    0,1966-01-12,BR047051610
  248,1966-01-13,BR047051610
  419,1966-01-14,BR047051610
    0,1966-01-15,BR047051610
    0,1966-01-16,BR047051610
    0,1966-01-17,BR047051610
    0,1966-01-18,BR047051610
    0,1966-01-19,BR047051610
    0,1966-01-20,BR047051610
    0,1966-01-21,BR047051610
   28,1966-01-22,BR047051610
  158,1966-01-23,BR047051610
    0,1966-01-24,BR047051610
  949,1966-01-25,BR047051610
    0,1966-01-26,BR047051610
    0,1966-01-27,BR047051610
  158,1966-01-28,BR047051610
    0,1966-01-29,BR047051610
    0,1966-01-30,BR047051610
  588,1966-01-31,BR047051610
    0,1966-02-01,BR047051610
    0,1966-02-02,BR047051610
    0,1966-02-03,BR047051610
  188,1966-02-04,BR047051610
    0,1966-02-05,BR047051610
  135,1966-02-06,BR047051610
    0,1966-02-07,BR047051610
  278,1966-02-08,BR047051610
    0,1966-02-09,BR047051610
  208,1966-02-10,BR047051610
    0,1966-02-11,BR047051610
    0,1966-02-12,BR047051610
    0,1966-02-13,BR047051610
    0,1966-02-14,BR047051610
    0,1966-02-15,BR047051610
    0,1966-02-16,BR047051610
  238,1966-02-17,BR047051610
    0,1966-02-18,BR047051610
    0,1966-02-19,BR047051610
    0,1966-02-20,BR047051610
    0,1966-02-21,BR047051610
    0,1966-02-22,BR047051610
    0,1966-02-23,BR047051610
    0,1966-02-24,BR047051610
    0,1966-02-25,BR047051610
    0,1966-02-26,BR047051610
    0,1966-02-27,BR047051610
   38,1966-02-28,BR047051610
    0,1966-03-01,BR047051610
    0,1966-03-02,BR047051610
  908,1966-03-03,BR047051610
    0,1966-03-04,BR047051610
    0,1966-03-05,BR047051610
  166,1966-03-06,BR047051610
    0,1966-03-07,BR047051610
  164,1966-03-08,BR047051610
    0,1966-03-09,BR047051610
  389,1966-03-10,BR047051610
    0,1966-03-11,BR047051610
    0,1966-03-12,BR047051610
    0,1966-03-13,BR047051610
    0,1966-03-14,BR047051610
    0,1966-03-15,BR047051610
    0,1966-03-16,BR047051610
    0,1966-03-17,BR047051610
    0,1966-03-18,BR047051610
    0,1966-03-19,BR047051610
    0,1966-03-20,BR047051610
    0,1966-03-21,BR047051610
    0,1966-03-22,BR047051610
    0,1966-03-23,BR047051610
    0,1966-03-24,BR047051610
    0,1966-03-25,BR047051610
    0,1966-03-26,BR047051610
    0,1966-03-27,BR047051610
    0,1966-03-28,BR047051610
    0,1966-03-29,BR047051610
    0,1966-03-30,BR047051610
    0,1966-03-31,BR047051610
    0,1966-04-01,BR047051610
    0,1966-04-02,BR047051610
    0,1966-04-03,BR047051610
    0,1966-04-04,BR047051610
  356,1966-04-05,BR047051610
    0,1966-04-06,BR047051610
    0,1966-04-07,BR047051610
  428,1966-04-08,BR047051610
    0,1966-04-09,BR047051610
   59,1966-04-10,BR047051610
  208,1966-04-11,BR047051610
  250,1966-04-12,BR047051610
    0,1966-04-13,BR047051610
  438,1966-04-14,BR047051610
    0,1966-04-15,BR047051610
    0,1966-04-16,BR047051610
    0,1966-04-17,BR047051610
    0,1966-04-18,BR047051610
    0,1966-04-19,BR047051610
    0,1966-04-20,BR047051610
    0,1966-04-21,BR047051610
    0,1966-04-22,BR047051610
    0,1966-04-23,BR047051610
    0,1966-04-24,BR047051610
    0,1966-04-25,BR047051610
    0,1966-04-26,BR047051610
  178,1966-04-27,BR047051610
    0,1966-04-28,BR047051610
    0,1966-04-29,BR047051610
    0,1966-04-30,BR047051610
    0,1966-05-01,BR047051610
    0,1966-05-02,BR047051610
    0,1966-05-03,BR047051610
    0,1966-05-04,BR047051610
    0,1966-05-05,BR047051610
    0,1966-05-06,BR047051610
    0,1966-05-07,BR047051610
    0,1966-05-08,BR047051610
    0,1966-05-09,BR047051610
    0,1966-05-10,BR047051610
    0,1966-05-11,BR047051610
    0,1966-05-12,BR047051610
    0,1966-05-13,BR047051610
    0,1966-05-14,BR047051610
    0,1966-05-15,BR047051610
    0,1966-05-16,BR047051610
    0,1966-05-17,BR047051610
    0,1966-05-18,BR047051610
    0,1966-05-19,BR047051610
    0,1966-05-20,BR047051610
    0,1966-05-21,BR047051610
    0,1966-05-22,BR047051610
